pkt arrived time,pkt arrived time(Scaled),MACsrc,MACdst,APPID,length,noASDU,svID1,smpCnt1,Data1,svID2,smpCnt2,Data2,svID3,smpCnt3,Data3,svID4,smpCnt4,Data4,svID5,smpCnt5,Data5,svID6,smpCnt6,Data6,svID7,smpCnt7,Data7,svID8,smpCnt8,Data8,svID9,smpCnt9,Data9
1648624504.09576,8243122.52047880,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,1,17,66kV2,1,0,66kV3,1,17,TRSF1W1,1,17,TRSF2W1,1,17,TRSF1W2,1,30,TRSF2W2,1,30,CB_TRSF1,1,52,CB_TRSF2,1,52
1648624504.14691,8243122.52073455,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,2,17,66kV2,2,0,66kV3,2,17,TRSF1W1,2,17,TRSF2W1,2,17,TRSF1W2,2,30,TRSF2W2,2,30,CB_TRSF1,2,52,CB_TRSF2,2,52
1648624504.19819,8243122.52099095,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,3,17,66kV2,3,0,66kV3,3,17,TRSF1W1,3,17,TRSF2W1,3,17,TRSF1W2,3,30,TRSF2W2,3,30,CB_TRSF1,3,52,CB_TRSF2,3,52
1648624504.24928,8243122.52124640,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,4,17,66kV2,4,0,66kV3,4,17,TRSF1W1,4,17,TRSF2W1,4,17,TRSF1W2,4,30,TRSF2W2,4,30,CB_TRSF1,4,52,CB_TRSF2,4,52
1648624504.29964,8243122.52149820,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,5,17,66kV2,5,0,66kV3,5,17,TRSF1W1,5,17,TRSF2W1,5,17,TRSF1W2,5,30,TRSF2W2,5,30,CB_TRSF1,5,52,CB_TRSF2,5,52
1648624504.35113,8243122.52175565,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,6,17,66kV2,6,0,66kV3,6,17,TRSF1W1,6,17,TRSF2W1,6,17,TRSF1W2,6,30,TRSF2W2,6,30,CB_TRSF1,6,52,CB_TRSF2,6,52
1648624504.40118,8243122.52200590,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,7,17,66kV2,7,0,66kV3,7,17,TRSF1W1,7,17,TRSF2W1,7,17,TRSF1W2,7,30,TRSF2W2,7,30,CB_TRSF1,7,52,CB_TRSF2,7,52
1648624504.45950,8243122.52229750,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,8,17,66kV2,8,0,66kV3,8,17,TRSF1W1,8,17,TRSF2W1,8,17,TRSF1W2,8,30,TRSF2W2,8,30,CB_TRSF1,8,52,CB_TRSF2,8,52
1648624504.51084,8243122.52255420,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,9,17,66kV2,9,0,66kV3,9,17,TRSF1W1,9,17,TRSF2W1,9,17,TRSF1W2,9,30,TRSF2W2,9,30,CB_TRSF1,9,52,CB_TRSF2,9,52
1648624504.55978,8243122.52279890,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,10,17,66kV2,10,0,66kV3,10,17,TRSF1W1,10,17,TRSF2W1,10,17,TRSF1W2,10,30,TRSF2W2,10,30,CB_TRSF1,10,52,CB_TRSF2,10,52
1648624504.61071,8243122.52305355,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,11,17,66kV2,11,0,66kV3,11,17,TRSF1W1,11,17,TRSF2W1,11,17,TRSF1W2,11,30,TRSF2W2,11,30,CB_TRSF1,11,52,CB_TRSF2,11,52
1648624504.66052,8243122.52330260,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,12,17,66kV2,12,0,66kV3,12,17,TRSF1W1,12,17,TRSF2W1,12,17,TRSF1W2,12,30,TRSF2W2,12,30,CB_TRSF1,12,52,CB_TRSF2,12,52
1648624504.71285,8243122.52356425,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,13,17,66kV2,13,0,66kV3,13,17,TRSF1W1,13,17,TRSF2W1,13,17,TRSF1W2,13,30,TRSF2W2,13,30,CB_TRSF1,13,52,CB_TRSF2,13,52
1648624504.75725,8243122.52378625,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,1,26,22kV2,1,0,22kV3,1,26,FDR1,1,26,FDR2,1,26,FDR3,1,26,FDR4,1,26,F_22kV1,1,0,F_22kV2,1,0
1648624504.76362,8243122.52381810,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,14,17,66kV2,14,0,66kV3,14,17,TRSF1W1,14,17,TRSF2W1,14,17,TRSF1W2,14,30,TRSF2W2,14,30,CB_TRSF1,14,52,CB_TRSF2,14,52
1648624504.80884,8243122.52404420,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,2,26,22kV2,2,0,22kV3,2,26,FDR1,2,26,FDR2,2,26,FDR3,2,26,FDR4,2,26,F_22kV1,2,0,F_22kV2,2,0
1648624504.81352,8243122.52406760,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,15,17,66kV2,15,0,66kV3,15,17,TRSF1W1,15,17,TRSF2W1,15,17,TRSF1W2,15,30,TRSF2W2,15,30,CB_TRSF1,15,52,CB_TRSF2,15,52
1648624504.85960,8243122.52429800,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,3,26,22kV2,3,0,22kV3,3,26,FDR1,3,26,FDR2,3,26,FDR3,3,26,FDR4,3,26,F_22kV1,3,0,F_22kV2,3,0
1648624504.86576,8243122.52432880,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,16,17,66kV2,16,0,66kV3,16,17,TRSF1W1,16,17,TRSF2W1,16,17,TRSF1W2,16,30,TRSF2W2,16,30,CB_TRSF1,16,52,CB_TRSF2,16,52
1648624504.91101,8243122.52455505,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,4,26,22kV2,4,0,22kV3,4,26,FDR1,4,26,FDR2,4,26,FDR3,4,26,FDR4,4,26,F_22kV1,4,0,F_22kV2,4,0
1648624504.91453,8243122.52457265,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,17,17,66kV2,17,0,66kV3,17,17,TRSF1W1,17,17,TRSF2W1,17,17,TRSF1W2,17,30,TRSF2W2,17,30,CB_TRSF1,17,52,CB_TRSF2,17,52
1648624504.96484,8243122.52482420,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,5,26,22kV2,5,0,22kV3,5,26,FDR1,5,26,FDR2,5,26,FDR3,5,26,FDR4,5,26,F_22kV1,5,0,F_22kV2,5,0
1648624504.96484,8243122.52482420,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,18,17,66kV2,18,0,66kV3,18,17,TRSF1W1,18,17,TRSF2W1,18,17,TRSF1W2,18,30,TRSF2W2,18,30,CB_TRSF1,18,52,CB_TRSF2,18,52
1648624505.01397,8243122.52506985,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,6,26,22kV2,6,0,22kV3,6,26,FDR1,6,26,FDR2,6,26,FDR3,6,26,FDR4,6,26,F_22kV1,6,0,F_22kV2,6,0
1648624505.01523,8243122.52507615,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,19,17,66kV2,19,0,66kV3,19,17,TRSF1W1,19,17,TRSF2W1,19,17,TRSF1W2,19,30,TRSF2W2,19,30,CB_TRSF1,19,52,CB_TRSF2,19,52
1648624505.06433,8243122.52532165,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,7,26,22kV2,7,0,22kV3,7,26,FDR1,7,26,FDR2,7,26,FDR3,7,26,FDR4,7,26,F_22kV1,7,0,F_22kV2,7,0
1648624505.07086,8243122.52535430,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,20,17,66kV2,20,0,66kV3,20,17,TRSF1W1,20,17,TRSF2W1,20,17,TRSF1W2,20,30,TRSF2W2,20,30,CB_TRSF1,20,52,CB_TRSF2,20,52
1648624505.12340,8243122.52561700,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,8,26,22kV2,8,0,22kV3,8,26,FDR1,8,26,FDR2,8,26,FDR3,8,26,FDR4,8,26,F_22kV1,8,0,F_22kV2,8,0
1648624505.12341,8243122.52561705,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,21,17,66kV2,21,0,66kV3,21,17,TRSF1W1,21,17,TRSF2W1,21,17,TRSF1W2,21,30,TRSF2W2,21,30,CB_TRSF1,21,52,CB_TRSF2,21,52
1648624505.16707,8243122.52583535,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,22,17,66kV2,22,0,66kV3,22,17,TRSF1W1,22,17,TRSF2W1,22,17,TRSF1W2,22,30,TRSF2W2,22,30,CB_TRSF1,22,52,CB_TRSF2,22,52
1648624505.17402,8243122.52587010,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,9,26,22kV2,9,0,22kV3,9,26,FDR1,9,26,FDR2,9,26,FDR3,9,26,FDR4,9,26,F_22kV1,9,0,F_22kV2,9,0
